Tree,Taxon,StandardizedAbundance
Heilongjiang,ASV8179,3.9009912810031464
Heilongjiang,ASV8179,4.222919375890509
Heilongjiang,ASV8179,4.485953781724303
Heilongjiang,ASV8179,3.601430999144239
Heilongjiang,ASV8179,5.708346203060751
Heilongjiang,ASV8179,5.988454122253486
Heilongjiang,ASV8179,5.360422899640444
Heilongjiang,ASV8179,5.293308703781907
Heilongjiang,ASV8179,11.400837168086353
Heilongjiang,ASV8179,11.289008566348281
Heilongjiang,ASV8179,10.07965613200962
Heilongjiang,ASV8179,10.364515654274326
Heilongjiang,ASV8179,10.254138106501228
Heilongjiang,ASV8179,11.513859778294186
Heilongjiang,ASV8179,11.373682120245928
Heilongjiang,ASV8179,10.543945504483478
Heilongjiang,ASV8179,12.381024095587096
Heilongjiang,ASV8179,10.590115685916405
Heilongjiang,ASV8179,9.87253483495392
Heilongjiang,ASV8179,12.054543312711258
Heilongjiang,ASV8179,3.485953781724303
Heilongjiang,ASV8179,3.222919375890509
Heilongjiang,ASV8179,3.7083462030607506
Heilongjiang,ASV8179,3.9009912810031464
Heilongjiang,ASV8179,4.4245532370601595
Heilongjiang,ASV8179,5.1104446466320965
Heilongjiang,ASV8179,4.758972276130718
Heilongjiang,ASV8179,2.7083462030607506
Heilongjiang,ASV8179,4.222919375890509
Heilongjiang,ASV8179,4.222919375890509
Heilongjiang,ASV8179,5.5734166229746425
Heilongjiang,ASV8179,4.601430999144239
Liaoning,ASV8179,3.070916282445459
Liaoning,ASV8179,4.360422899640444
Liaoning,ASV8179,3.601430999144239
Liaoning,ASV8179,4.544847470777871
Liaoning,ASV8179,0
Liaoning,ASV8179,3.9009912810031464
Liaoning,ASV8179,4.222919375890509
Liaoning,ASV8179,4.360422899640444
Liaoning,ASV8179,5.0709162824454586
Liaoning,ASV8179,3.807881876611665
Liaoning,ASV8179,4.1489187944467325
Liaoning,ASV8179,3.988454122253486
Yunnan,ASV8179,4.360422899640444
Yunnan,ASV8179,4.758972276130718
Yunnan,ASV8179,5.601430999144239
Yunnan,ASV8179,5.515701125118355
Yunnan,ASV8179,5.222919375890509
Yunnan,ASV8179,4.708346203060751
Yunnan,ASV8179,4.758972276130718
Yunnan,ASV8179,4.293308703781907
Yunnan,ASV8179,5.4245532370601595
Yunnan,ASV8179,5.0709162824454586
Yunnan,ASV8179,4.293308703781907
Yunnan,ASV8179,0
Jiangsu,ASV8179,4.988454122253486
Jiangsu,ASV8179,6.1104446466320965
Jiangsu,ASV8179,4.6558787831666155
Jiangsu,ASV8179,5.455580132680784
Jiangsu,ASV8179,4.900991281003146
Jiangsu,ASV8179,4.988454122253486
Jiangsu,ASV8179,5.4859537817243025
Jiangsu,ASV8179,4.900991281003146
Jiangsu,ASV8179,6.186393499865395
Jiangsu,ASV8179,5.682350994527806
Jiangsu,ASV8179,5.4859537817243025
Jiangsu,ASV8179,5.186393499865395
Jiangsu,ASV8179,5.030274297948113
Jiangsu,ASV8179,4.6558787831666155
Jiangsu,ASV8179,4.988454122253486
Jiangsu,ASV8179,5.5734166229746425
Jiangsu,ASV8179,5.4245532370601595
Jiangsu,ASV8179,4.855187591390022
Jiangsu,ASV8179,3.988454122253486
Jiangsu,ASV8179,4.807881876611665
Jiangsu,ASV8179,4.293308703781907
Jiangsu,ASV8179,4.4245532370601595
Jiangsu,ASV8179,5.392844377332821
Jiangsu,ASV8179,5.030274297948113
Jiangsu,ASV8179,5.5734166229746425
Jiangsu,ASV8179,4.988454122253486
Jiangsu,ASV8179,5.708346203060751
Jiangsu,ASV8179,4.293308703781907
Jiangsu,ASV8179,4.9453854003616
Jiangsu,ASV8179,5.25854328562123
Jiangsu,ASV8179,5.807881876611665
Jiangsu,ASV8179,5.831728618566033
Jiangsu,ASV8179,5.601430999144239
Jiangsu,ASV8179,5.186393499865395
