OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV11583	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus_cohnii
ASV11584	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	unidentified_Micromonospora
ASV11585	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	unidentified_Deinococcus
ASV11586	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Ohtaekwangia	uncultured_bacterium
ASV11587	Eukaryota	Phragmoplastophyta	Embryophyta	Magnoliophyta	Magnoliophyta	Magnoliophyta	unidentified_Magnoliophyta
ASV11588	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	unidentified_Polyangiaceae	unidentified_Polyangiaceae
ASV11589	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	unidentified_Rickettsiales	unidentified_Rickettsiales	unidentified_Rickettsiales
ASV11590	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	unidentified_Micrococcaceae	unidentified_Micrococcaceae
ASV11591	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	unidentified_Novosphingobium
ASV11592	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Nomurabacteria	Candidatus_Nomurabacteria	Candidatus_Nomurabacteria	unidentified_Candidatus_Nomurabacteria
ASV11593	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dokdonella	unidentified_Dokdonella
ASV11594	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unidentified_Pseudomonas
ASV11595	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	unidentified_Haliangium
ASV11596	Bacteria	Firmicutes	Bacilli	Caldalkalibacillales	Caldalkalibacillaceae	Caldalkalibacillus	unidentified_Caldalkalibacillus
ASV11597	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	uncultured_bacterium
ASV11598	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	unidentified_Mycobacterium
ASV11599	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc_pseudomesenteroides
ASV11600	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter	unidentified_Dyadobacter
ASV11601	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Cohnella	unidentified_Cohnella
ASV11602	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	uncultured_bacterium
ASV11603	Eukaryota	Phragmoplastophyta	Embryophyta	Magnoliophyta	Magnoliophyta	Magnoliophyta	unidentified_Magnoliophyta
ASV11604	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	Thermomicrobiaceae	Nitrolancea	uncultured_bacterium
