	otu	otu_occ	otu_rel	fill
402	ASV425	0.000835422	2.32E-08	core
403	ASV426	0.000835422	1.24E-07	core
404	ASV427	0.000835422	6.01E-06	core
405	ASV428	0.000835422	8.92E-08	core
406	ASV429	0.000835422	3.44E-06	core
407	ASV430	0.000835422	4.44E-07	core
408	ASV431	0.000835422	4.60E-07	core
409	ASV432	0.000835422	6.32E-08	core
410	ASV433	0.000835422	9.59E-08	core
411	ASV434	0.001670844	1.91E-06	core
412	ASV435	0.000835422	3.21E-08	core
413	ASV436	0.005012531	1.06E-06	core
414	ASV437	0.000835422	1.46E-07	core
415	ASV438	0.000835422	4.83E-07	core
416	ASV439	0.000835422	7.54E-08	core
417	ASV440	0.000835422	2.44E-07	core
418	ASV441	0.000835422	9.88E-08	core
419	ASV443	0.004177109	2.43E-06	core
420	ASV444	0.000835422	5.06E-07	core
421	ASV445	0.000835422	4.58E-07	core
422	ASV446	0.000835422	6.67E-07	core
423	ASV447	0.000835422	6.31E-07	core
424	ASV448	0.002506266	1.58E-06	core
425	ASV449	0.091060986	4.30E-04	core
426	ASV450	0.005012531	6.37E-06	core
427	ASV451	0.000835422	6.49E-07	core
428	ASV452	0.000835422	3.52E-08	core
429	ASV453	0.005012531	5.70E-06	core
430	ASV454	0.000835422	1.36E-06	core
431	ASV455	0.000835422	5.59E-08	core
432	ASV456	0.000835422	1.28E-08	core
433	ASV457	0.000835422	7.01E-08	core
434	ASV458	0.000835422	4.09E-07	core
435	ASV459	0.000835422	3.01E-07	core
436	ASV460	0.000835422	5.26E-07	core
437	ASV461	0.000835422	2.19E-07	core
438	ASV462	0.000835422	2.06E-07	core
439	ASV463	0.000835422	1.15E-06	core
440	ASV464	0.000835422	3.13E-06	core
441	ASV465	0.000835422	2.88E-07	core
442	ASV467	0.000835422	6.81E-08	core
443	ASV468	0.000835422	1.73E-06	core
444	ASV469	0.000835422	2.33E-07	core
445	ASV470	0.000835422	2.03E-07	core
446	ASV471	0.000835422	9.73E-08	core
447	ASV472	0.000835422	8.16E-07	core
448	ASV473	0.000835422	1.14E-06	core
449	ASV474	0.000835422	1.11E-07	core
450	ASV476	0.001670844	8.75E-07	core
451	ASV477	0.020050125	3.17E-04	core
452	ASV478	0.006683375	1.98E-06	core
453	ASV479	0.000835422	3.35E-07	core
454	ASV480	0.000835422	4.71E-08	core
455	ASV481	0.000835422	1.89E-05	core
456	ASV482	0.000835422	2.56E-08	core
457	ASV483	0.001670844	2.23E-06	core
458	ASV484	0.000835422	5.50E-08	core
459	ASV485	0.000835422	1.74E-08	core
460	ASV486	0.000835422	2.53E-06	core
461	ASV487	0.000835422	6.89E-08	core
462	ASV488	0.000835422	7.56E-07	core
463	ASV489	0.000835422	1.05E-06	core
464	ASV490	0.025898079	2.98E-05	core
465	ASV491	0.005012531	4.38E-06	core
466	ASV492	0.000835422	1.01E-07	core
467	ASV493	0.000835422	1.44E-07	core
468	ASV494	0.001670844	1.30E-06	core
469	ASV495	0.000835422	1.00E-07	core
470	ASV496	0.000835422	2.43E-08	core
471	ASV497	0.000835422	5.15E-08	core
472	ASV498	0.000835422	2.59E-07	core
473	ASV500	0.000835422	6.85E-07	core
474	ASV501	0.000835422	1.29E-07	core
475	ASV502	0.000835422	6.88E-07	core
476	ASV503	0.000835422	3.32E-06	core
477	ASV504	0.000835422	2.06E-07	core
478	ASV505	0.000835422	3.08E-07	core
479	ASV506	0.000835422	2.96E-08	core
480	ASV507	0.000835422	1.52E-07	core
481	ASV508	0.000835422	1.24E-06	core
482	ASV509	0.000835422	1.47E-06	core
483	ASV510	0.000835422	3.91E-06	core
484	ASV512	0.000835422	1.19E-06	core
485	ASV513	0.000835422	1.28E-07	core
486	ASV514	0.002506266	1.55E-06	core
487	ASV515	0.000835422	5.72E-06	core
488	ASV516	0.000835422	1.62E-07	core
489	ASV517	0.000835422	1.30E-06	core
490	ASV518	0.000835422	3.08E-08	core
491	ASV519	0.000835422	4.28E-06	core
492	ASV520	0.000835422	9.67E-07	core
493	ASV521	0.002506266	2.21E-06	core
494	ASV522	0.000835422	3.10E-08	core
495	ASV523	0.000835422	4.37E-08	core
496	ASV524	0.000835422	1.41E-06	core
497	ASV525	0.000835422	7.51E-07	core
498	ASV526	0.000835422	4.56E-07	core
499	ASV527	0.005012531	1.39E-05	core
500	ASV529	0.000835422	7.51E-07	core
501	ASV530	0.000835422	1.79E-07	core
502	ASV531	0.000835422	3.11E-07	core
503	ASV532	0.005847953	9.31E-06	core
504	ASV533	0.004177109	1.13E-06	core
505	ASV534	0.000835422	3.52E-08	core
506	ASV535	0.000835422	2.10E-07	core
507	ASV536	0.002506266	1.04E-06	core
508	ASV537	0.000835422	7.25E-08	core
509	ASV538	0.000835422	1.42E-06	core
510	ASV539	0.000835422	8.34E-08	core
511	ASV540	0.000835422	4.02E-06	core
512	ASV541	0.000835422	1.30E-06	core
513	ASV542	0.000835422	2.55E-07	core
514	ASV543	0.000835422	3.40E-08	core
515	ASV544	0.000835422	5.17E-07	core
516	ASV545	0.000835422	1.58E-07	core
517	ASV546	0.000835422	3.90E-07	core
518	ASV547	0.000835422	4.70E-08	core
519	ASV548	0.000835422	8.18E-07	core
520	ASV549	0.000835422	1.82E-07	core
521	ASV550	0.000835422	1.65E-07	core
522	ASV551	0.000835422	9.71E-07	core
523	ASV552	0.000835422	1.76E-06	core
524	ASV555	0.000835422	4.44E-08	core
525	ASV556	0.000835422	3.62E-06	core
526	ASV557	0.000835422	2.43E-08	core
527	ASV558	0.000835422	4.54E-07	core
528	ASV559	0.004177109	4.31E-06	core
529	ASV560	0.000835422	1.40E-07	core
530	ASV561	0.000835422	1.71E-06	core
531	ASV562	0.000835422	4.24E-07	core
532	ASV563	0.002506266	1.13E-06	core
533	ASV564	0.002506266	4.70E-06	core
534	ASV565	0.000835422	5.32E-06	core
535	ASV566	0.000835422	1.88E-07	core
536	ASV567	0.000835422	4.23E-07	core
537	ASV569	0.000835422	1.94E-07	core
538	ASV570	0.000835422	1.49E-07	core
539	ASV571	0.000835422	1.13E-06	core
540	ASV572	0.068504595	1.39E-04	core
